date,net_sales_actual,yhat,yhat_lower,yhat_upper,model,is_forecast
2024-01-10,1003.25,,,,prophet,False
2024-01-11,870.0,,,,prophet,False
2024-01-12,1448.37,,,,prophet,False
2024-01-13,1539.9,,,,prophet,False
2024-01-14,1536.7,,,,prophet,False
2024-01-15,0.0,,,,prophet,False
2024-01-16,0.0,,,,prophet,False
2024-01-17,1486.75,,,,prophet,False
2024-01-18,1267.33,,,,prophet,False
2024-01-19,1766.67,,,,prophet,False
2024-01-20,1440.65,,,,prophet,False
2024-01-21,1743.32,,,,prophet,False
2024-01-22,0.0,,,,prophet,False
2024-01-23,0.0,,,,prophet,False
2024-01-24,1404.04,,,,prophet,False
2024-01-25,1254.35,,,,prophet,False
2024-01-26,1695.48,,,,prophet,False
2024-01-27,1847.1,,,,prophet,False
2024-01-28,2115.6,,,,prophet,False
2024-01-29,0.0,,,,prophet,False
2024-01-30,0.0,,,,prophet,False
2024-01-31,1570.2,,,,prophet,False
2024-02-01,1530.43,,,,prophet,False
2024-02-02,2324.45,,,,prophet,False
2024-02-03,2363.44,,,,prophet,False
2024-02-04,2653.55,,,,prophet,False
2024-02-05,0.0,,,,prophet,False
2024-02-06,0.0,,,,prophet,False
2024-02-07,2013.85,,,,prophet,False
2024-02-08,2026.8,,,,prophet,False
2024-02-09,2160.1,,,,prophet,False
2024-02-10,2842.37,,,,prophet,False
2024-02-11,2312.7,,,,prophet,False
2024-02-12,0.0,,,,prophet,False
2024-02-13,0.0,,,,prophet,False
2024-02-14,2078.03,,,,prophet,False
2024-02-15,1296.5,,,,prophet,False
2024-02-16,1838.31,,,,prophet,False
2024-02-17,2570.75,,,,prophet,False
2024-02-18,2670.07,,,,prophet,False
2024-02-19,0.0,,,,prophet,False
2024-02-20,0.0,,,,prophet,False
2024-02-21,2228.95,,,,prophet,False
2024-02-22,1568.23,,,,prophet,False
2024-02-23,2469.8,,,,prophet,False
2024-02-24,2373.6,,,,prophet,False
2024-02-25,2553.38,,,,prophet,False
2024-02-26,0.0,,,,prophet,False
2024-02-27,0.0,,,,prophet,False
2024-02-28,1574.25,,,,prophet,False
2024-02-29,1939.5,,,,prophet,False
2024-03-01,2825.3,,,,prophet,False
2024-03-02,2078.3,,,,prophet,False
2024-03-03,2424.27,,,,prophet,False
2024-03-04,0.0,,,,prophet,False
2024-03-05,1802.95,,,,prophet,False
2024-03-06,1975.78,,,,prophet,False
2024-03-07,1780.1,,,,prophet,False
2024-03-08,2799.0,,,,prophet,False
2024-03-09,3779.17,,,,prophet,False
2024-03-10,2037.0,,,,prophet,False
2024-03-11,0.0,,,,prophet,False
2024-03-12,1846.15,,,,prophet,False
2024-03-13,2165.1,,,,prophet,False
2024-03-14,2079.65,,,,prophet,False
2024-03-15,2140.73,,,,prophet,False
2024-03-16,3259.8,,,,prophet,False
2024-03-17,2344.05,,,,prophet,False
2024-03-18,0.0,,,,prophet,False
2024-03-19,2527.34,,,,prophet,False
2024-03-20,1832.97,,,,prophet,False
2024-03-21,1997.79,,,,prophet,False
2024-03-22,2249.62,,,,prophet,False
2024-03-23,3010.97,,,,prophet,False
2024-03-24,2855.25,,,,prophet,False
2024-03-25,0.0,,,,prophet,False
2024-03-26,2022.85,,,,prophet,False
2024-03-27,1814.43,,,,prophet,False
2024-03-28,2176.5,,,,prophet,False
2024-03-29,2133.92,,,,prophet,False
2024-03-30,2712.27,,,,prophet,False
2024-03-31,1944.25,,,,prophet,False
2024-04-01,0.0,,,,prophet,False
2024-04-02,1499.15,,,,prophet,False
2024-04-03,2093.35,,,,prophet,False
2024-04-04,1667.33,,,,prophet,False
2024-04-05,2556.28,,,,prophet,False
2024-04-06,3957.49,,,,prophet,False
2024-04-07,2252.37,,,,prophet,False
2024-04-08,0.0,,,,prophet,False
2024-04-09,1355.83,,,,prophet,False
2024-04-10,1820.21,,,,prophet,False
2024-04-11,1913.39,,,,prophet,False
2024-04-12,2105.8,,,,prophet,False
2024-04-13,3119.73,,,,prophet,False
2024-04-14,2123.3,,,,prophet,False
2024-04-15,0.0,,,,prophet,False
2024-04-16,2062.65,,,,prophet,False
2024-04-17,1569.03,,,,prophet,False
2024-04-18,1328.3,,,,prophet,False
2024-04-19,2793.4,,,,prophet,False
2024-04-20,3794.75,,,,prophet,False
2024-04-21,2909.45,,,,prophet,False
2024-04-22,0.0,,,,prophet,False
2024-04-23,1702.1,,,,prophet,False
2024-04-24,1874.45,,,,prophet,False
2024-04-25,1627.42,,,,prophet,False
2024-04-26,2168.09,,,,prophet,False
2024-04-27,3679.62,,,,prophet,False
2024-04-28,3543.91,,,,prophet,False
2024-04-29,0.0,,,,prophet,False
2024-04-30,1880.72,,,,prophet,False
2024-05-01,1652.14,,,,prophet,False
2024-05-02,1735.13,,,,prophet,False
2024-05-03,2335.95,,,,prophet,False
2024-05-04,3980.8,,,,prophet,False
2024-05-05,2547.09,,,,prophet,False
2024-05-06,0.0,,,,prophet,False
2024-05-07,1899.98,,,,prophet,False
2024-05-08,1697.61,,,,prophet,False
2024-05-09,2016.89,,,,prophet,False
2024-05-10,2474.37,,,,prophet,False
2024-05-11,3893.67,,,,prophet,False
2024-05-12,2655.01,,,,prophet,False
2024-05-13,0.0,,,,prophet,False
2024-05-14,1876.45,,,,prophet,False
2024-05-15,1982.76,,,,prophet,False
2024-05-16,1550.15,,,,prophet,False
2024-05-17,2233.62,,,,prophet,False
2024-05-18,3959.49,,,,prophet,False
2024-05-19,2400.4,,,,prophet,False
2024-05-20,0.0,,,,prophet,False
2024-05-21,1310.98,,,,prophet,False
2024-05-22,2559.33,,,,prophet,False
2024-05-23,1556.19,,,,prophet,False
2024-05-24,2844.72,,,,prophet,False
2024-05-25,2629.82,,,,prophet,False
2024-05-26,2054.27,,,,prophet,False
2024-05-27,0.0,,,,prophet,False
2024-05-28,1671.95,,,,prophet,False
2024-05-29,1509.7,,,,prophet,False
2024-05-30,1667.62,,,,prophet,False
2024-05-31,2077.69,,,,prophet,False
2024-06-01,4176.14,,,,prophet,False
2024-06-02,2224.76,,,,prophet,False
2024-06-03,0.0,,,,prophet,False
2024-06-04,1800.76,,,,prophet,False
2024-06-05,2557.07,,,,prophet,False
2024-06-06,1888.01,,,,prophet,False
2024-06-07,2027.0,,,,prophet,False
2024-06-08,3990.93,,,,prophet,False
2024-06-09,2448.44,,,,prophet,False
2024-06-10,0.0,,,,prophet,False
2024-06-11,17.21,,,,prophet,False
2024-06-12,2207.09,,,,prophet,False
2024-06-13,1861.76,,,,prophet,False
2024-06-14,2283.48,,,,prophet,False
2024-06-15,3922.44,,,,prophet,False
2024-06-16,2850.67,,,,prophet,False
2024-06-17,0.0,,,,prophet,False
2024-06-18,1686.1,,,,prophet,False
2024-06-19,2400.09,,,,prophet,False
2024-06-20,1511.79,,,,prophet,False
2024-06-21,2884.53,,,,prophet,False
2024-06-22,3629.19,,,,prophet,False
2024-06-23,1908.0,,,,prophet,False
2024-06-24,0.0,,,,prophet,False
2024-06-25,1667.05,,,,prophet,False
2024-06-26,1893.61,,,,prophet,False
2024-06-27,1745.02,,,,prophet,False
2024-06-28,2555.82,,,,prophet,False
2024-06-29,3814.24,,,,prophet,False
2024-06-30,1942.04,,,,prophet,False
2024-07-01,0.0,,,,prophet,False
2024-07-02,2262.25,,,,prophet,False
2024-07-03,2850.54,,,,prophet,False
2024-07-04,1137.26,,,,prophet,False
2024-07-05,2393.45,,,,prophet,False
2024-07-06,3627.59,,,,prophet,False
2024-07-07,2373.17,,,,prophet,False
2024-07-08,0.0,,,,prophet,False
2024-07-09,2443.9,,,,prophet,False
2024-07-10,1676.14,,,,prophet,False
2024-07-11,1653.34,,,,prophet,False
2024-07-12,2830.58,,,,prophet,False
2024-07-13,3349.07,,,,prophet,False
2024-07-14,2136.96,,,,prophet,False
2024-07-15,0.0,,,,prophet,False
2024-07-16,2073.5,,,,prophet,False
2024-07-17,1265.98,,,,prophet,False
2024-07-18,1712.37,,,,prophet,False
2024-07-19,2651.72,,,,prophet,False
2024-07-20,4204.11,,,,prophet,False
2024-07-21,2141.13,,,,prophet,False
2024-07-22,0.0,,,,prophet,False
2024-07-23,0.0,,,,prophet,False
2024-07-24,2230.04,,,,prophet,False
2024-07-25,2447.52,,,,prophet,False
2024-07-26,1920.53,,,,prophet,False
2024-07-27,4004.7,,,,prophet,False
2024-07-28,2006.25,,,,prophet,False
2024-07-29,0.0,,,,prophet,False
2024-07-30,1876.97,,,,prophet,False
2024-07-31,2473.97,,,,prophet,False
2024-08-01,3095.0,,,,prophet,False
2024-08-02,2347.01,,,,prophet,False
2024-08-03,3688.34,,,,prophet,False
2024-08-04,2625.07,,,,prophet,False
2024-08-05,0.0,,,,prophet,False
2024-08-06,1823.12,,,,prophet,False
2024-08-07,1925.85,,,,prophet,False
2024-08-08,1362.35,,,,prophet,False
2024-08-09,2806.0,,,,prophet,False
2024-08-10,3969.3,,,,prophet,False
2024-08-11,2883.76,,,,prophet,False
2024-08-12,0.0,,,,prophet,False
2024-08-13,1899.09,,,,prophet,False
2024-08-14,2507.98,,,,prophet,False
2024-08-15,1746.46,,,,prophet,False
2024-08-16,2631.46,,,,prophet,False
2024-08-17,3390.0,,,,prophet,False
2024-08-18,1829.13,,,,prophet,False
2024-08-19,0.0,,,,prophet,False
2024-08-20,1863.77,,,,prophet,False
2024-08-21,2088.71,,,,prophet,False
2024-08-22,2074.5,,,,prophet,False
2024-08-23,2703.48,,,,prophet,False
2024-08-24,3597.84,,,,prophet,False
2024-08-25,1742.77,,,,prophet,False
2024-08-26,0.0,,,,prophet,False
2024-08-27,957.49,,,,prophet,False
2024-08-28,2182.49,,,,prophet,False
2024-08-29,1995.68,,,,prophet,False
2024-08-30,2233.74,,,,prophet,False
2024-08-31,3109.29,,,,prophet,False
2024-09-01,2057.58,,,,prophet,False
2024-09-02,0.0,,,,prophet,False
2024-09-03,1472.1,,,,prophet,False
2024-09-04,1545.76,,,,prophet,False
2024-09-05,2099.98,,,,prophet,False
2024-09-06,1948.35,,,,prophet,False
2024-09-07,3780.58,,,,prophet,False
2024-09-08,1825.09,,,,prophet,False
2024-09-09,0.0,,,,prophet,False
2024-09-10,1536.89,,,,prophet,False
2024-09-11,2049.51,,,,prophet,False
2024-09-12,1479.46,,,,prophet,False
2024-09-13,2620.3,,,,prophet,False
2024-09-14,3567.21,,,,prophet,False
2024-09-15,2275.8,,,,prophet,False
2024-09-16,0.0,,,,prophet,False
2024-09-17,1565.36,,,,prophet,False
2024-09-18,1774.81,,,,prophet,False
2024-09-19,1827.73,,,,prophet,False
2024-09-20,2522.75,,,,prophet,False
2024-09-21,2857.73,,,,prophet,False
2024-09-22,1789.41,,,,prophet,False
2024-09-23,0.0,,,,prophet,False
2024-09-24,1824.38,,,,prophet,False
2024-09-25,1947.43,,,,prophet,False
2024-09-26,1661.79,,,,prophet,False
2024-09-27,2298.65,,,,prophet,False
2024-09-28,3208.09,,,,prophet,False
2024-09-29,2430.31,,,,prophet,False
2024-09-30,0.0,,,,prophet,False
2024-10-01,1166.18,,,,prophet,False
2024-10-02,2202.93,,,,prophet,False
2024-10-03,2137.59,,,,prophet,False
2024-10-04,2136.02,,,,prophet,False
2024-10-05,3416.99,,,,prophet,False
2024-10-06,2654.27,,,,prophet,False
2024-10-07,0.0,,,,prophet,False
2024-10-08,1919.73,,,,prophet,False
2024-10-09,2128.88,,,,prophet,False
2024-10-10,1768.97,,,,prophet,False
2024-10-11,2536.71,,,,prophet,False
2024-10-12,3361.63,,,,prophet,False
2024-10-13,2235.87,,,,prophet,False
2024-10-14,0.0,,,,prophet,False
2024-10-15,1931.32,,,,prophet,False
2024-10-16,2031.86,,,,prophet,False
2024-10-17,1808.97,,,,prophet,False
2024-10-18,2354.73,,,,prophet,False
2024-10-19,4275.78,,,,prophet,False
2024-10-20,2110.27,,,,prophet,False
2024-10-21,0.0,,,,prophet,False
2024-10-22,2357.75,,,,prophet,False
2024-10-23,1910.01,,,,prophet,False
2024-10-24,1700.14,,,,prophet,False
2024-10-25,1851.75,,,,prophet,False
2024-10-26,3272.0,,,,prophet,False
2024-10-27,2002.21,,,,prophet,False
2024-10-28,0.0,,,,prophet,False
2024-10-29,1622.43,,,,prophet,False
2024-10-30,1907.65,,,,prophet,False
2024-10-31,1988.66,,,,prophet,False
2024-11-01,2433.67,,,,prophet,False
2024-11-02,3501.79,,,,prophet,False
2024-11-03,2470.99,,,,prophet,False
2024-11-04,0.0,,,,prophet,False
2024-11-05,1724.8,,,,prophet,False
2024-11-06,2045.9,,,,prophet,False
2024-11-07,1339.6,,,,prophet,False
2024-11-08,2546.25,,,,prophet,False
2024-11-09,4346.95,,,,prophet,False
2024-11-10,2373.39,,,,prophet,False
2024-11-11,0.0,,,,prophet,False
2024-11-12,1708.45,,,,prophet,False
2024-11-13,2023.69,,,,prophet,False
2024-11-14,1679.74,,,,prophet,False
2024-11-15,2216.73,,,,prophet,False
2024-11-16,4069.15,,,,prophet,False
2024-11-17,2162.93,,,,prophet,False
2024-11-18,0.0,,,,prophet,False
2024-11-19,2009.94,,,,prophet,False
2024-11-20,1531.26,,,,prophet,False
2024-11-21,1863.18,,,,prophet,False
2024-11-22,2501.58,,,,prophet,False
2024-11-23,3844.5,,,,prophet,False
2024-11-24,1900.88,,,,prophet,False
2024-11-25,0.0,,,,prophet,False
2024-11-26,1980.07,,,,prophet,False
2024-11-27,2382.6,,,,prophet,False
2024-11-28,2664.95,,,,prophet,False
2024-11-29,2032.3,,,,prophet,False
2024-11-30,1539.41,,,,prophet,False
2024-12-01,2094.59,,,,prophet,False
2024-12-02,0.0,,,,prophet,False
2024-12-03,1666.15,,,,prophet,False
2024-12-04,1753.07,,,,prophet,False
2024-12-05,2023.05,,,,prophet,False
2024-12-06,2196.41,,,,prophet,False
2024-12-07,3806.95,,,,prophet,False
2024-12-08,2119.41,,,,prophet,False
2024-12-09,0.0,,,,prophet,False
2024-12-10,2082.73,,,,prophet,False
2024-12-11,2188.36,,,,prophet,False
2024-12-12,1315.93,,,,prophet,False
2024-12-13,2920.37,,,,prophet,False
2024-12-14,3351.41,,,,prophet,False
2024-12-15,1950.61,,,,prophet,False
2024-12-16,0.0,,,,prophet,False
2024-12-17,1591.63,,,,prophet,False
2024-12-18,1983.63,,,,prophet,False
2024-12-19,2569.43,,,,prophet,False
2024-12-20,2223.53,,,,prophet,False
2024-12-21,3238.87,,,,prophet,False
2024-12-22,2101.65,,,,prophet,False
2024-12-23,0.0,,,,prophet,False
2024-12-24,3036.17,,,,prophet,False
2024-12-25,105.59,,,,prophet,False
2024-12-26,2074.62,,,,prophet,False
2024-12-27,2341.39,,,,prophet,False
2024-12-28,2379.12,,,,prophet,False
2024-12-29,2285.79,,,,prophet,False
2024-12-30,0.0,,,,prophet,False
2024-12-31,3136.99,,,,prophet,False
2025-01-01,2853.52,,,,prophet,False
2025-01-02,2033.35,,,,prophet,False
2025-01-03,2010.47,,,,prophet,False
2025-01-04,1491.49,,,,prophet,False
2025-01-05,0.0,,,,prophet,False
2025-01-06,0.0,,,,prophet,False
2025-01-07,1040.39,,,,prophet,False
2025-01-08,1427.04,,,,prophet,False
2025-01-09,1407.66,,,,prophet,False
2025-01-10,1808.93,,,,prophet,False
2025-01-11,3771.41,,,,prophet,False
2025-01-12,1712.79,,,,prophet,False
2025-01-13,0.0,,,,prophet,False
2025-01-14,1741.3,,,,prophet,False
2025-01-15,1605.15,,,,prophet,False
2025-01-16,1897.19,,,,prophet,False
2025-01-17,2396.91,,,,prophet,False
2025-01-18,2814.35,,,,prophet,False
2025-01-19,1974.45,,,,prophet,False
2025-01-20,0.0,,,,prophet,False
2025-01-21,1307.86,,,,prophet,False
2025-01-22,2310.07,,,,prophet,False
2025-01-23,1829.31,,,,prophet,False
2025-01-24,2432.82,,,,prophet,False
2025-01-25,3177.17,,,,prophet,False
2025-01-26,2128.86,,,,prophet,False
2025-01-27,0.0,,,,prophet,False
2025-01-28,1609.19,,,,prophet,False
2025-01-29,1885.32,,,,prophet,False
2025-01-30,1352.78,,,,prophet,False
2025-01-31,2771.61,,,,prophet,False
2025-02-01,3341.09,,,,prophet,False
2025-02-02,1564.6,,,,prophet,False
2025-02-03,0.0,,,,prophet,False
2025-02-04,1623.47,,,,prophet,False
2025-02-05,1263.03,,,,prophet,False
2025-02-06,1244.33,,,,prophet,False
2025-02-07,2549.6,,,,prophet,False
2025-02-08,3767.04,,,,prophet,False
2025-02-09,2131.11,,,,prophet,False
2025-02-10,0.0,,,,prophet,False
2025-02-11,1377.03,,,,prophet,False
2025-02-12,1058.7,,,,prophet,False
2025-02-13,878.73,,,,prophet,False
2025-02-14,3056.51,,,,prophet,False
2025-02-15,3934.3,,,,prophet,False
2025-02-16,4381.01,,,,prophet,False
2025-02-17,0.0,,,,prophet,False
2025-02-18,494.78,,,,prophet,False
2025-02-19,1470.79,,,,prophet,False
2025-02-20,1592.74,,,,prophet,False
2025-02-21,2369.8,,,,prophet,False
2025-02-22,3373.79,,,,prophet,False
2025-02-23,2425.06,,,,prophet,False
2025-02-24,0.0,,,,prophet,False
2025-02-25,1817.52,,,,prophet,False
2025-02-26,2433.32,,,,prophet,False
2025-02-27,1920.05,,,,prophet,False
2025-02-28,3023.66,,,,prophet,False
2025-03-01,4162.91,,,,prophet,False
2025-03-02,2579.8,,,,prophet,False
2025-03-03,0.0,,,,prophet,False
2025-03-04,1342.86,,,,prophet,False
2025-03-05,2065.22,,,,prophet,False
2025-03-06,2408.85,,,,prophet,False
2025-03-07,2602.44,,,,prophet,False
2025-03-08,5219.74,,,,prophet,False
2025-03-09,2209.8,,,,prophet,False
2025-03-10,0.0,,,,prophet,False
2025-03-11,2278.91,,,,prophet,False
2025-03-12,2236.16,,,,prophet,False
2025-03-13,1841.89,,,,prophet,False
2025-03-14,3091.9,,,,prophet,False
2025-03-15,4534.9,,,,prophet,False
2025-03-16,3299.74,,,,prophet,False
2025-03-17,0.0,,,,prophet,False
2025-03-18,2362.52,,,,prophet,False
2025-03-19,2849.11,,,,prophet,False
2025-03-20,2159.75,,,,prophet,False
2025-03-21,3292.03,,,,prophet,False
2025-03-22,3729.49,,,,prophet,False
2025-03-23,2124.18,,,,prophet,False
2025-03-24,0.0,,,,prophet,False
2025-03-25,1873.71,,,,prophet,False
2025-03-26,2430.7,,,,prophet,False
2025-03-27,2124.18,,,,prophet,False
2025-03-28,2597.93,,,,prophet,False
2025-03-29,3985.52,,,,prophet,False
2025-03-30,2498.86,,,,prophet,False
2025-03-31,0.0,,,,prophet,False
2025-04-01,1999.92,,,,prophet,False
2025-04-02,2969.57,,,,prophet,False
2025-04-03,1584.98,,,,prophet,False
2025-04-04,2488.03,,,,prophet,False
2025-04-05,5022.55,,,,prophet,False
2025-04-06,2317.89,,,,prophet,False
2025-04-07,0.0,,,,prophet,False
2025-04-08,2035.36,,,,prophet,False
2025-04-09,1927.91,,,,prophet,False
2025-04-10,1746.02,,,,prophet,False
2025-04-11,2503.83,,,,prophet,False
2025-04-12,3898.48,,,,prophet,False
2025-04-13,2308.9,,,,prophet,False
2025-04-14,0.0,,,,prophet,False
2025-04-15,1660.32,,,,prophet,False
2025-04-16,2129.56,,,,prophet,False
2025-04-17,2117.21,,,,prophet,False
2025-04-18,2977.34,,,,prophet,False
2025-04-19,3999.55,,,,prophet,False
